ID,Name,Pos,Price,Team,xPts GW37-38,xPts +2 per sub,xPts +2 per sub with 0.86 decay,GW xMins,38,xPts if play,38,Probability to play,38,xPts,38,npG,38
343,Bednarek,DEF,4.4,SOU,1.835151888,2.098309782,2.098309782,,74.21428571,,2.113205204,,0.868421053,,1.835151888,,0.057763713
690,Kenedy,DEF,4.5,CHE,0.307290137,2.096763822,2.096763822,,4.210526316,,2.919256305,,0.105263158,,0.307290137,,0.072986851
275,Shaw,DEF,5,MUN,0.305504909,2.094978594,2.094978594,,8.421052632,,2.90229664,,0.105263158,,0.305504909,,0.013687246
100,Pieters,DEF,4.1,BUR,0.283369185,2.072842869,2.072842869,,6.736842105,,2.692007257,,0.105263158,,0.283369185,,0.014381338
198,Struijk,DEF,4.3,LEE,1.733263678,2.049053152,2.049053152,,60.64285714,,2.058250618,,0.842105263,,1.733263678,,0.052024837
147,Tomkins,DEF,4.3,CRY,0.142873499,2.037610342,2.037610342,,4.210526316,,2.71459649,,0.052631579,,0.142873499,,0.061381286
99,Bardsley,DEF,3.9,BUR,0.110237363,2.031289995,2.031289995,,2.960526316,,2.792679871,,0.039473684,,0.110237363,,0.016437949
292,Ritchie,DEF,4.9,NEW,0.129146564,2.023883406,2.023883406,,3.157894737,,2.45378471,,0.052631579,,0.129146564,,0.024866284
238,Gomez,DEF,4.7,LIV,0.049600013,2.023284223,2.023284223,,0.986842105,,3.769600983,,0.013157895,,0.049600013,,0.006770815
150,Kouyate,DEF,4.5,CRY,0.442959492,2.021906861,2.021906861,,12.63157895,,2.104057589,,0.210526316,,0.442959492,,0.022183264
151,Kelly,DEF,3.8,CRY,0.066648786,2.014017207,2.014017207,,2.105263158,,2.532653885,,0.026315789,,0.066648786,,0.019000967
651,Egan-Riley,DEF,4,MCI,0.03726957,2.010953781,2.010953781,,0.789473684,,2.832487318,,0.013157895,,0.03726957,,0.001622077
340,Vestergaard,DEF,4.7,LEI,0.033256092,2.006940303,2.006940303,,0.921052632,,2.527463012,,0.013157895,,0.033256092,,0.046257834
302,Manquillo,DEF,3.9,NEW,0.059298875,2.006667296,2.006667296,,1.842105263,,2.253357235,,0.026315789,,0.059298875,,0.015536237
158,Jach,DEF,4.2,CRY,0.032869456,2.006553666,2.006553666,,1.052631579,,2.498078623,,0.013157895,,0.032869456,,0.026544301
286,Bailly,DEF,4.9,MUN,0.032622088,2.006306299,2.006306299,,0.986842105,,2.479278694,,0.013157895,,0.032622088,,0.01171799
569,Stevens,DEF,3.9,BRE,0.057330545,2.004698966,2.004698966,,1.578947368,,2.178560703,,0.026315789,,0.057330545,,0.018784614
301,Dummett,DEF,4.5,NEW,0.030427356,2.004111567,2.004111567,,0.921052632,,2.312479091,,0.013157895,,0.030427356,,0.010970387
247,R Williams,DEF,4.4,LIV,0.00923427,2.003971112,2.003971112,,0.184210526,,3.509022568,,0.002631579,,0.00923427,,0.03505527
632,P Jones,DEF,4.5,MUN,0.013985694,2.003459378,2.003459378,,0.394736842,,2.65728191,,0.005263158,,0.013985694,,0.013393951
604,Wilson-Esbrand,DEF,3.9,MCI,0.007889508,2.00262635,2.00262635,,0.157894737,,2.998012945,,0.002631579,,0.007889508,,0.006518091
603,Mbete,DEF,3.9,MCI,0.007711673,2.002448515,2.002448515,,0.157894737,,2.930435676,,0.002631579,,0.007711673,,0.003118308
0,Burns,DEF,4,MCI,0.007276161,2.002013003,2.002013003,,0.157894737,,2.764941285,,0.002631579,,0.007276161,,0.001529358
565,Dodgson,DEF,3.9,BUR,0.003249865,2.000618286,2.000618286,,0.078947368,,2.469897064,,0.001315789,,0.003249865,,0.029858513
560,H Roberts,DEF,3.9,BHA,0.005786817,2.000523659,2.000523659,,0.157894737,,2.198990562,,0.002631579,,0.005786817,,0.004410334
534,B Thomas,DEF,3.9,BUR,0.002933279,2.0003017,2.0003017,,0.078947368,,2.229292008,,0.001315789,,0.002933279,,0.009323584
331,Omobamidele,DEF,3.9,NOR,0,2,2,,0,,0.001331,,0,,0,,0
424,Diop,DEF,4.2,WHU,0,2,2,,0,,0.001424,,0,,0,,0
674,Patterson,DEF,4.2,EVE,0,2,2,,0,,0.001697,,0,,0,,0
371,Tanganga,DEF,4.2,TOT,0,2,2,,0,,0.001371,,0,,0,,0
491,Livramento,DEF,4.2,SOU,0,2,2,,0,,0.001491,,0,,0,,0
185,Ayling,DEF,4.3,LEE,0,2,2,,0,,0.001185,,0,,0,,0
465,F Fernandez,DEF,4.3,NEW,0,2,2,,0,,0.001465,,0,,0,,0
